nama_sekolah,npsn,sekolah_id_enkrip
PKBM YOMA SILIBA,P9997193,42E8A74C36BFE655C4F6                                                                                
PKBM BOMBANA CERDAS,P9996341,C3428C98EC532A9F3F99                                                                                
PKBM NURRAHMA,P2970259,8B8FA0768A46020A64D4                                                                                
PKBM KETAPANG JAYA,P2966492,7B90239AF151FC9FBEA8                                                                                
PKBM INOPORIK,P9934525,ADAF3DF6988DC3505273                                                                                
PKBM KHOIRUNNISA,P2970137,7EDD87A7C7AAFB30C199                                                                                
PKBM HARAPAN MANDIRI,P9962767,2749140C23A01DAEF035                                                                                
PKBM MARS,P9952837,AFC20DEB7B2BACBB6AF9                                                                                
PKBM KARANGTURI,P2965212,108AD4388AAE0A35B72A                                                                                
PKBM PERMATA,P9984639,F483A23BF096F1414948                                                                                
PKBM Yapim,P2960699,4DF3AC98095A4F04AB03                                                                                
PKBM TAMPAN,P9956813,0AD6224568DED424033A                                                                                
PKBM PUSDIKLATKOM,P9954387,3516952ECF87811DADC9                                                                                
PKBM Trisula,P2963215,779E6010E3AA52E330EB                                                                                
PKBM KUSUMA BANGSA,P9952725,1138FBD31220D8E6666B                                                                                
PKBM AL-MADINA,P9996223,496E2F4B7218DD96F7DE                                                                                
PKBM NSA,P9985044,BDCF43FAFCACE2820702                                                                                
PKBM NURUL FALAH,P2964540,794E95DB1A4D567D976E                                                                                
PKBM ANAK BANGSA,P2964835,9B87DF7FFC15345B5018                                                                                
