npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
69980582,SMA IT LUQMAN AL HAKIM,SWASTA,SMA,32810,Kec. Slawi,32800,Kab. Tegal,30000,Prov. Jawa Tengah,-6.987475,109.127966
69947175,SMA NEGERI 2 ABAB,NEGERI,SMA,111223,KEC. ABAB,111200,Kab. Penukal Abab Lematang Ilir,110000,Prov. Sumatera Selatan,-3.2439,104.1471
20532141,SMAS KHADIJAH,SWASTA,SMA,56011,Kec. Wonokromo,56000,Kota Surabaya,50000,Prov. Jawa Timur,-7.3053,112.7355
69883646,SMA DEK,SWASTA,SMA,86104,Kec. Padang Selatan,86100,Kota Padang,80000,Prov. Sumatera Barat,-0.9571,100.3678
20300624,SMA RADEN FATAH CIMANGGU,SWASTA,SMA,30104,Kec. Cimanggu,30100,Kab. Cilacap,30000,Prov. Jawa Tengah,-7.366,108.8626
20216939,SMA NEGERI 1 PURWADADI,NEGERI,SMA,21912,Kec. Purwadadi,21900,Kab. Subang,20000,Prov. Jawa Barat,-6.4653,107.6896
20552151,SMA TERPADU ABUL FAIDL,SWASTA,SMA,51521,Kec. Wonodadi,51500,Kab. Blitar,50000,Prov. Jawa Timur,-8.049,111.9941
20510139,SMAS MUHAMMADIYAH 1 PONOROGO,SWASTA,SMA,51117,Kec. Ponorogo,51100,Kab. Ponorogo,50000,Prov. Jawa Timur,-7.862435,111.4762083
20603160,SMAS BETHEL,SWASTA,SMA,280321,Kec. Kosambi,280300,Kab. Tangerang,280000,Prov. Banten,-6.0947,106.6951
60403921,SMA NEGERI 1 AIFAT,NEGERI,SMA,321001,Kec. Aifat,321000,Kab. Maybrat,320000,Prov. Papua Barat,-1.2554,132.5024
50308607,SMAS K ST ARNOLDUS MUKUN,SWASTA,SMA,242002,Kec. Kota Komba,242000,Kab. Manggarai Timur,240000,Prov. Nusa Tenggara Timur,-8.6575,120.6947
69965398,SMA PJ GLOBAL SCHOOL,SWASTA,SMA,56105,Kec. Lowokwaru,56100,Kota Malang,50000,Prov. Jawa Timur,-7.9279484,112.6185841
69760561,SMAS BINA MANDIRI,SWASTA,SMA,140707,Kec. Seruyan Raya,140700,Kab. Seruyan,140000,Prov. Kalimantan Tengah,-2.5717,112.4418
20326484,SMAS WALISONGO KETANGGUNGAN,SWASTA,SMA,32908,Kec. Ketanggungan,32900,Kab. Brebes,30000,Prov. Jawa Tengah,-6.9749,108.8857
